173;"335";;;0;0;0;"0";;;
"Asqatasun Rgaa3 ProcessÂ ?";"Rgaa3 TEST";"Level";" Rgaa3 TITLE";"IDENTICAL Rgaa3 / Rgaa3-2016";"NEW";"ID change";"Rgaa3-2016 TEST";"Rgaa3-2016   TITLE";"Difference type";"explanation"
"TRUE";"1.1.1";"A";;;;;;;;
"TRUE";"1.1.2";"A";;;;;;;;
"TRUE";"1.1.3";"A";;;;;;;;
"TRUE";"1.1.4";"A";;;;;;;;
"TRUE";"1.2.1";"A";;;;;;;;
"TRUE";"1.2.2";"A";;;;;;;;
"TRUE";"1.2.3";"A";;;;;;;;
"TRUE";"1.2.4";"A";;;;;;;;
"TRUE";"1.2.5";"A";;;;;;;;
"TRUE";"1.3.1";"A";;;;;;;;
"TRUE";"1.3.2";"A";;;;;;;;
"TRUE";"1.3.3";"A";;;;;;;;
"TRUE";"1.3.4";"A";;;;;;;;
"TRUE";"1.3.5";"A";;;;;;;;
"TRUE";"1.3.6";"A";;;;;;;;
"TRUE";"1.3.7";"A";;;;;;;;
"TRUE";"1.3.9";"A";;;;;;;;
"TRUE";"1.3.8";"A";;;;;;;;
;"1.3.10";"A";;;;;;;;
"TRUE";"1.4.1";"A";;;;;;;;
"TRUE";"1.4.2";"A";;;;;;;;
"TRUE";"1.4.3";"A";;;;;;;;
"TRUE";"1.4.4";"A";;;;;;;;
"TRUE";"1.4.5";"A";;;;;;;;
"TRUE";"1.4.6";"A";;;;;;;;
"TRUE";"1.4.7";"A";;;;;;;;
"TRUE";"1.4.8";"A";;;;;;;;
"TRUE";"1.4.9";"A";;;;;;;;
"TRUE";"1.5.1";"A";;;;;;;;
"TRUE";"1.5.2";"A";;;;;;;;
"TRUE";"1.6.1";"A";;;;;;;;
"TRUE";"1.6.2";"A";;;;;;;;
"TRUE";"1.6.3";"A";;;;;;;;
"TRUE";"1.6.4";"A";;;;;;;;
"TRUE";"1.6.5";"A";;;;;;;;
"TRUE";"1.6.6";"A";;;;;;;;
"TRUE";"1.6.7";"A";;;;;;;;
"TRUE";"1.6.8";"A";;;;;;;;
"TRUE";"1.7.1";"A";;;;;;;;
"TRUE";"1.7.2";"A";;;;;;;;
"TRUE";"1.7.3";"A";;;;;;;;
"TRUE";"1.7.4";"A";;;;;;;;
"TRUE";"1.7.5";"A";;;;;;;;
"TRUE";"1.7.6";"A";;;;;;;;
"TRUE";"1.7.7";"A";;;;;;;;
"TRUE";"1.8.1";"AA";;;;;;;;
"TRUE";"1.8.2";"AA";;;;;;;;
"TRUE";"1.8.3";"AA";;;;;;;;
"TRUE";"1.8.4";"AA";;;;;;;;
"TRUE";"1.8.5";"AA";;;;;;;;
"TRUE";"1.8.6";"AA";;;;;;;;
"TRUE";"1.9.1";"AAA";;;;;;;;
"TRUE";"1.9.2";"AAA";;;;;;;;
"TRUE";"1.9.3";"AAA";;;;;;;;
"TRUE";"1.9.4";"AAA";;;;;;;;
"TRUE";"1.9.5";"AAA";;;;;;;;
"TRUE";"1.9.6";"AAA";;;;;;;;
;"1.10.1";"A";;;;;;;;
;"1.10.2";"A";;;;;;;;
;"1.10.3";"A";;;;;;;;
;"1.10.4";"A";;;;;;;;
;"1.10.5";"A";;;;;;;;
"TRUE";"2.1.1";"A";;;;;;;;
"TRUE";"2.2.1";"A";;;;;;;;
;"3.1.1";"A";;;;;;;;
;"3.1.2";"A";;;;;;;;
;"3.1.3";"A";;;;;;;;
;"3.1.4";"A";;;;;;;;
;"3.1.5";"A";;;;;;;;
;"3.1.6";"A";;;;;;;;
;"3.2.1";"A";;;;;;;;
;"3.2.2";"A";;;;;;;;
;"3.2.3";"A";;;;;;;;
;"3.2.4";"A";;;;;;;;
;"3.2.5";"A";;;;;;;;
;"3.2.6";"A";;;;;;;;
"TRUE";"3.3.1";"AA";;;;;;;;
"TRUE";"3.3.2";"AA";;;;;;;;
"TRUE";"3.3.3";"AA";;;;;;;;
"TRUE";"3.3.4";"AA";;;;;;;;
"TRUE";"3.4.1";"AAA";;;;;;;;
"TRUE";"3.4.2";"AAA";;;;;;;;
"TRUE";"3.4.3";"AAA";;;;;;;;
"TRUE";"3.4.4";"AAA";;;;;;;;
;"4.1.1";"A";;;;;;;;
;"4.1.2";"A";;;;;;;;
;"4.1.3";"A";;;;;;;;
;"4.2.1";"A";;;;;;;;
;"4.2.2";"A";;;;;;;;
;"4.2.3";"A";;;;;;;;
;"4.3.1";"A";;;;;;;;
;"4.3.2";"A";;;;;;;;
;"4.4.1";"A";;;;;;;;
;"4.5.1";"AA";;;;;;;;
;"4.5.2";"AA";;;;;;;;
;"4.6.1";"AA";;;;;;;;
;"4.6.2";"AA";;;;;;;;
;"4.7.1";"AA";;;;;;;;
;"4.7.2";"AA";;;;;;;;
;"4.8.1";"AA";;;;;;;;
;"4.8.2";"AA";;;;;;;;
;"4.9.1";"AAA";;;;;;;;
;"4.9.2";"AAA";;;;;;;;
;"4.10.1";"AAA";;;;;;;;
;"4.10.2";"AAA";;;;;;;;
;"4.11.1";"AAA";;;;;;;;
;"4.11.2";"AAA";;;;;;;;
;"4.12.1";"AAA";;;;;;;;
;"4.12.2";"AAA";;;;;;;;
;"4.13.1";"AAA";;;;;;;;
;"4.13.2";"AAA";;;;;;;;
;"4.14.1";"AAA";;;;;;;;
;"4.14.2";"AAA";;;;;;;;
;"4.15.1";"A";;;;;;;;
;"4.15.2";"A";;;;;;;;
;"4.16.1";"A";;;;;;;;
;"4.16.2";"A";;;;;;;;
;"4.17.1";"A";;;;;;;;
;"4.18.1";"A";;;;;;;;
;"4.19.1";"AAA";;;;;;;;
;"4.20.1";"A";;;;;;;;
;"4.20.2";"A";;;;;;;;
;"4.20.3";"A";;;;;;;;
;"4.21.1";"A";;;;;;;;
;"4.21.2";"A";;;;;;;;
"TRUE";"4.22.1";"A";;;;;;;;
"TRUE";"4.22.2";"A";;;;;;;;
"TRUE";"5.1.1";"A";;;;;;;;
"TRUE";"5.2.1";"A";;;;;;;;
"TRUE";"5.3.1";"A";;;;;;;;
"TRUE";"5.4.1";"A";;;;;;;;
"TRUE";"5.5.1";"A";;;;;;;;
"TRUE";"5.6.1";"A";;;;;;;;
"TRUE";"5.6.2";"A";;;;;;;;
"TRUE";"5.7.1";"A";;;;;;;;
"TRUE";"5.7.2";"A";;;;;;;;
"TRUE";"5.7.3";"A";;;;;;;;
"TRUE";"5.7.4";"A";;;;;;;;
"TRUE";"5.8.1";"A";;;;;;;;
"TRUE";"6.1.1";"A";;;;;;;;
"TRUE";"6.1.2";"A";;;;;;;;
"TRUE";"6.1.3";"A";;;;;;;;
"TRUE";"6.1.4";"A";;;;;;;;
"TRUE";"6.1.5";"A";;;;;;;;
"TRUE";"6.2.1";"A";;;;;;;;
"TRUE";"6.2.2";"A";;;;;;;;
"TRUE";"6.2.3";"A";;;;;;;;
"TRUE";"6.2.4";"A";;;;;;;;
"TRUE";"6.2.5";"A";;;;;;;;
"TRUE";"6.3.1";"AAA";;;;;;;;
"TRUE";"6.3.2";"AAA";;;;;;;;
"TRUE";"6.3.3";"AAA";;;;;;;;
"TRUE";"6.3.4";"AAA";;;;;;;;
"TRUE";"6.3.5";"AAA";;;;;;;;
"TRUE";"6.4.1";"A";;;;;;;;
"TRUE";"6.4.2";"A";;;;;;;;
"TRUE";"6.4.3";"A";;;;;;;;
"TRUE";"6.4.4";"A";;;;;;;;
"TRUE";"6.4.5";"A";;;;;;;;
"TRUE";"6.5.1";"A";;;;;;;;
;"7.1.1";"A";;;;;;;;
;"7.1.2";"A";;;;;;;;
;"7.1.3";"A";;;;;;;;
;"7.1.4";"A";;;;;;;;
;"7.1.5";"A";;;;;;;;
;"7.1.6";"A";;;;;;;;
;"7.2.1";"A";;;;;;;;
;"7.2.2";"A";;;;;;;;
;"7.3.1";"A";;;;;;;;
;"7.3.2";"A";;;;;;;;
;"7.3.3";"A";;;;;;;;
;"7.3.4";"A";;;;;;;;
"TRUE";"7.4.1";"A";;;;;;;;
;"7.5.1";"AAA";;;;;;;;
"TRUE";"8.1.1";"A";;;;;;;;
"TRUE";"8.1.2";"A";;;;;;;;
"TRUE";"8.1.3";"A";;;;;;;;
;"8.2.1";"A";;;;;;;;
;"8.2.2";"A";;;;;;;;
"TRUE";"8.3.1";"A";;;;;;;;
"TRUE";"8.4.1";"A";;;;;;;;
"TRUE";"8.5.1";"A";;;;;;;;
"TRUE";"8.6.1";"A";;;;;;;;
"TRUE";"8.7.1";"AA";;;;;;;;
"TRUE";"8.8.1";"AA";;;;;;;;
"TRUE";"8.8.2";"AA";;;;;;;;
"TRUE";"8.9.1";"A";;;;;;;;
;"8.10.1";"A";;;;;;;;
"TRUE";"9.1.1";"A";;;;;;;;
"TRUE";"9.1.2";"A";;;;;;;;
;"9.1.3";"A";;;;;;;;
"TRUE";"9.1.4";"A";;;;;;;;
;"9.2.1";"A";;;;;;;;
;"9.2.2";"A";;;;;;;;
;"9.3.1";"A";;;;;;;;
;"9.3.2";"A";;;;;;;;
;"9.3.3";"A";;;;;;;;
;"9.4.1";"AAA";;;;;;;;
;"9.5.1";"AAA";;;;;;;;
;"9.6.1";"A";;;;;;;;
;"9.6.2";"A";;;;;;;;
"TRUE";"10.1.1";"A";;;;;;;;
"TRUE";"10.1.2";"A";;;;;;;;
;"10.1.3";"A";;;;;;;;
;"10.2.1";"A";;;;;;;;
;"10.3.1";"A";;;;;;;;
"TRUE";"10.4.1";"AA";;;;;;;;
"TRUE";"10.4.2";"AA";;;;;;;;
;"10.4.3";"AA";;;;;;;;
;"10.5.1";"AA";;;;;;;;
;"10.5.2";"AA";;;;;;;;
;"10.5.3";"AA";;;;;;;;
;"10.6.1";"A";;;;;;;;
"TRUE";"10.7.1";"A";;;;;;;;
;"10.7.2";"A";;;;;;;;
;"10.7.3";"A";;;;;;;;
;"10.8.1";"AAA";;;;;;;;
;"10.8.2";"AAA";;;;;;;;
"TRUE";"10.8.3";"AAA";;;;;;;;
"TRUE";"10.8.4";"AAA";;;;;;;;
;"10.9.1";"AAA";;;;;;;;
;"10.10.1";"AAA";;;;;;;;
;"10.11.1";"AAA";;;;;;;;
;"10.12.1";"AAA";;;;;;;;
;"10.12.2";"AAA";;;;;;;;
"TRUE";"10.13.1";"A";;;;;;;;
;"10.13.2";"A";;;;;;;;
;"10.13.3";"A";;;;;;;;
;"10.14.1";"A";;;;;;;;
;"10.14.2";"A";;;;;;;;
;"10.14.3";"A";;;;;;;;
;"10.14.4";"A";;;;;;;;
;"10.15.1";"A";;;;;;;;
;"10.15.2";"A";;;;;;;;
;"10.15.3";"A";;;;;;;;
;"10.15.4";"A";;;;;;;;
"TRUE";"11.1.1";"A";;;;;;;;
"TRUE";"11.1.2";"A";;;;;;;;
"TRUE";"11.1.3";"A";;;;;;;;
"TRUE";"11.2.1";"A";;;;;;;;
"TRUE";"11.2.2";"A";;;;;;;;
;"11.2.3";"A";;;;;;;;
;"11.2.4";"A";;;;;;;;
"TRUE";"11.3.1";"AA";;;;;;;;
"TRUE";"11.3.2";"AA";;;;;;;;
"TRUE";"11.4.1";"A";;;;;;;;
"TRUE";"11.5.1";"A";;;;;;;;
"TRUE";"11.6.1";"A";;;;;;;;
"TRUE";"11.7.1";"A";;;;;;;;
"TRUE";"11.8.1";"A";;;;;;;;
"TRUE";"11.8.2";"A";;;;;;;;
"TRUE";"11.8.3";"A";;;;;;;;
"TRUE";"11.9.1";"A";;;;;;;;
"TRUE";"11.9.2";"A";;;;;;;;
"TRUE";"11.10.1";"A";;;;;;;;
;"11.10.2";"A";;;;;;;;
;"11.10.3";"A";;;;;;;;
"TRUE";"11.10.4";"A";;;;;;;;
;"11.10.5";"A";;;;;;;;
;"11.10.6";"A";;;;;;;;
"TRUE";"11.10.7";"A";;;;;;;;
;"11.10.8";"A";;;;;;;;
;"11.10.9";"A";;;;;;;;
"TRUE";"11.11.1";"AA";;;;;;;;
"TRUE";"11.11.2";"AA";;;;;;;;
"TRUE";"11.12.1";"AA";;;;;;;;
"TRUE";"11.12.2";"AA";;;;;;;;
"TRUE";"11.13.1";"AAA";;;;;;;;
"TRUE";"11.13.2";"AAA";;;;;;;;
"TRUE";"11.14.1";"AAA";;;;;;;;
;"11.14.2";"AAA";;;;;;;;
;"11.14.3";"AAA";;;;;;;;
"TRUE";"11.14.4";"AAA";;;;;;;;
;"11.14.5";"AAA";;;;;;;;
;"11.14.6";"AAA";;;;;;;;
"TRUE";"11.15.1";"AAA";;;;;;;;
"TRUE";"12.1.1";"AA";;;;;;;;
"TRUE";"12.2.1";"AA";;;;;;;;
"TRUE";"12.2.2";"AA";;;;;;;;
"TRUE";"12.3.1";"AA";;;;;;;;
"TRUE";"12.3.2";"AA";;;;;;;;
;"12.4.1";"AA";;;;;;;;
;"12.4.2";"AA";;;;;;;;
;"12.4.3";"AA";;;;;;;;
"TRUE";"12.5.1";"AA";;;;;;;;
"TRUE";"12.5.2";"AA";;;;;;;;
"TRUE";"12.5.3";"AA";;;;;;;;
"TRUE";"12.6.1";"AA";;;;;;;;
"TRUE";"12.6.2";"AA";;;;;;;;
"TRUE";"12.6.3";"AA";;;;;;;;
"TRUE";"12.7.1";"AA";;;;;;;;
;"12.8.1";"AAA";;;;;;;;
;"12.9.1";"AAA";;;;;;;;
;"12.10.1";"A";;;;;;;;
;"12.10.2";"A";;;;;;;;
;"12.10.3";"A";;;;;;;;
;"12.10.4";"A";;;;;;;;
;"12.11.1";"A";;;;;;;;
;"12.11.2";"A";;;;;;;;
;"12.11.3";"A";;;;;;;;
"TRUE";"12.11.4";"A";;;;;;;;
;"12.12.1";"AAA";;;;;;;;
;"12.13.1";"A";;;;;;;;
;"12.13.2";"A";;;;;;;;
;"12.14.1";"A";;;;;;;;
;"13.1.1";"A";;;;;;;;
"TRUE";"13.1.2";"A";;;;;;;;
;"13.1.3";"A";;;;;;;;
;"13.1.4";"A";;;;;;;;
;"13.1.5";"A";;;;;;;;
"TRUE";"13.2.1";"A";;;;;;;;
"TRUE";"13.2.2";"A";;;;;;;;
"TRUE";"13.2.3";"A";;;;;;;;
;"13.3.1";"A";;;;;;;;
;"13.4.1";"AAA";;;;;;;;
;"13.5.1";"AAA";;;;;;;;
"TRUE";"13.6.1";"A";;;;;;;;
"TRUE";"13.6.2";"A";;;;;;;;
"TRUE";"13.6.3";"A";;;;;;;;
"TRUE";"13.7.1";"A";;;;;;;;
;"13.8.1";"A";;;;;;;;
;"13.9.1";"AAA";;;;;;;;
;"13.10.1";"AAA";;;;;;;;
;"13.11.1";"A";;;;;;;;
;"13.12.1";"A";;;;;;;;
;"13.13.1";"AAA";;;;;;;;
;"13.14.1";"AAA";;;;;;;;
;"13.15.1";"A";;;;;;;;
;"13.15.2";"A";;;;;;;;
;"13.15.3";"A";;;;;;;;
;"13.16.1";"AAA";;;;;;;;
;"13.16.2";"AAA";;;;;;;;
;"13.16.3";"AAA";;;;;;;;
;"13.17.1";"A";;;;;;;;
;"13.17.2";"A";;;;;;;;
